Country Code,code,Region,IncomeGroup,TableName,SpecialNotes,,,
BOL,,Latin America & Caribbean,Lower middle income,Bolivia,,,,
BRA,BRL,Latin America & Caribbean,Upper middle income,Brazil,,,,
BRB,,Latin America & Caribbean,High income,Barbados,,,,
BRN,,East Asia & Pacific,High income,Brunei Darussalam,National accounts revision is based on data from the Asian Development Bank and the IMF. Data have been revised from 2010-2015, the new base year is 2010.,,
BTN,,South Asia,Lower middle income,Bhutan,,,,
BWA,,Sub-Saharan Africa,Upper middle income,Botswana,"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",,,
CAF,,Sub-Saharan Africa,Low income,Central African Republic,The source of national accounts has changed to the International Monetary Fund. The base year has reverted back to 1985, the new reference year is 2005.,,
CAN,CAD,North America,High income,Canada,Fiscal year end: March 31, reporting period for national accounts data: CY.,,
CEB,,,,Central Europe and the Baltics,Central Europe and the Baltics aggregate.,,,
CHE,CHF,Europe & Central Asia,High income,Switzerland,,,,
CHI,,Europe & Central Asia,High income,Channel Islands,,,,
CHL,,Latin America & Caribbean,High income,Chile,,,,
CHN,CNY,East Asia & Pacific,Upper middle income,China,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. National accounts have been revised from 2010-2015 based on the National Bureau of Statistics data and World Bank estimates. The new base year is 2010.",,,
CIV,,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire,,,,
CMR,,Sub-Saharan Africa,Lower middle income,Cameroon,,,,
COD,,Sub-Saharan Africa,Low income,"Congo, Dem. Rep.",WB-3 code changed from ZAR to COD to align with ISO code.,,,
COG,,Sub-Saharan Africa,Lower middle income,"Congo, Rep.",,,,
COL,COP,Latin America & Caribbean,Upper middle income,Colombia,,,,
COM,,Sub-Saharan Africa,Low income,Comoros,,,,
CPV,,Sub-Saharan Africa,Lower middle income,Cabo Verde,Cabo Verde is the name for the country previously listed as Cape Verde. Value added is measured in basic prices.,,,
CRI,,Latin America & Caribbean,Upper middle income,Costa Rica,National accounts are revised from 1991 to 2015 using SNA 2008 based on official government data. The new reference year is 2012.,,,
CSS,,,,Caribbean small states,Caribbean small states aggregate.,,,
CUB,,Latin America & Caribbean,Upper middle income,Cuba,"Based on official government statistics, the new reference year is 2005.",,,
CUW,,Latin America & Caribbean,High income,Curaçao,,,,
CYM,,Latin America & Caribbean,High income,Cayman Islands,,,,
CYP,CYP,Europe & Central Asia,High income,Cyprus,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",,,
CZE,CZK,Europe & Central Asia,High income,Czech Republic,,,,
DEU,,Europe & Central Asia,High income,Germany,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
DJI,,Middle East & North Africa,Lower middle income,Djibouti,,,,
DMA,,Latin America & Caribbean,Upper middle income,Dominica,,,,
DNK,DKK,Europe & Central Asia,High income,Denmark,,,,
DOM,,Latin America & Caribbean,Upper middle income,Dominican Republic,,,,
DZA,DZD,Middle East & North Africa,Upper middle income,Algeria,The new base year is 1999.,,,
EAP,,,,East Asia & Pacific (excluding high income),East Asia and Pacific regional aggregate (does not include high-income economies).,,,
EAR,,,,Early-demographic dividend,Early-dividend countries are mostly lower-middle-income countries further along the fertility transition. Fertility rates have fallen below four births per woman and the working-age share of the population is likely rising considerably.,,,
EAS,,,,East Asia & Pacific,East Asia and Pacific regional aggregate (includes all income levels).,,,
ECA,,,,Europe & Central Asia (excluding high income),Europe and Central Asia regional aggregate (does not include high-income economies).,,,
ECS,,,,Europe & Central Asia,Europe and Central Asia regional aggregate (includes all income levels).,,,
ECU,,Latin America & Caribbean,Upper middle income,Ecuador,,,,
EGY,EGP,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep.",Fiscal year end: June 30, reporting period for national accounts data: FY.,,
EMU,,,,Euro area,Euro area aggregate.,,,
ERI,,Sub-Saharan Africa,Low income,Eritrea,,,,
ESP,,Europe & Central Asia,High income,Spain,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
EST,,Europe & Central Asia,High income,Estonia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",,,
ETH,,Sub-Saharan Africa,Low income,Ethiopia,Fiscal year end: July 7, reporting period for national accounts data: FY.,,
EUU,,,,European Union,European Union aggregate.,,,
FCS,,,,Fragile and conflict affected situations,"Fragile and conflict affected situations aggregate. Countries with fragile situations are primarily International Development Association-eligible countries and nonmember or inactive countries and territories with a 3.2 or lower harmonized average of the World Bank's Country Policy and Institutional Assessment rating and the corresponding rating by a regional development bank, or that have had a UN or regional peacebuilding and political mission (for example by the African Union, European Union, or Organization of American States) or peacekeeping mission (for example, by the African Union, European Union, North Atlantic Treaty Organization, or Organization of American States) during the last three years. The group excludes IBRD countries (for which the CPIA scores are not publically disclosed); unless there is the presence of a peace-keeping or political/peacebuilding mission. This definition is pursuant to an agreement between the World Bank and other multilateral development banks at the start of the International Development Association 15 round in 2007. The list of countries and territories with fragile situations is imperfect and used here to reflect a complex concept. The World Bank continues to work with partners and client countries to refine the concept.",,,
FIN,,Europe & Central Asia,High income,Finland,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
FJI,FJD,East Asia & Pacific,Upper middle income,Fiji,National accounts have been revised from 2011 to 2015 based on the Fiji Bureau of Statistics and World Bank estimates. The new base year is 2011.,,,
FRA,,Europe & Central Asia,High income,France,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
FRO,,Europe & Central Asia,High income,Faroe Islands,,,,
FSM,,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts.","Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward.",,,
GAB,,Sub-Saharan Africa,Upper middle income,Gabon,,,,
GBR,GBP,Europe & Central Asia,High income,United Kingdom,,,,
GEO,,Europe & Central Asia,Lower middle income,Georgia,Value added data in constant prices before 2007 have been temporarily removed until revised series become available. Constant price expenditure estimates before 2011 have been deleted.,,,
GHA,GHS,Sub-Saharan Africa,Lower middle income,Ghana,,,,
GIB,,Europe & Central Asia,High income,Gibraltar,,,,
GIN,,Sub-Saharan Africa,Low income,Guinea,,,,
GMB,,Sub-Saharan Africa,Low income,"Gambia, The",Fiscal year end: June 30, reporting period for national accounts data: CY.,,
GNB,,Sub-Saharan Africa,Low income,Guinea-Bissau,,,,
GNQ,,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,,,,
GRC,,Europe & Central Asia,High income,Greece,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
GRD,,Latin America & Caribbean,Upper middle income,Grenada,,,,
GRL,,Europe & Central Asia,High income,Greenland,,,,
GTM,,Latin America & Caribbean,Lower middle income,Guatemala,,,,
GUM,,East Asia & Pacific,High income,Guam,,,,
GUY,,Latin America & Caribbean,Upper middle income,Guyana,,,,
HIC,,,,High income,"High income group aggregate. High-income economies are those in which 2015 GNI per capita was $12,476 or more.",,,
HKG,HKD,East Asia & Pacific,High income,"Hong Kong SAR, China","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",,,
HND,HNL,Latin America & Caribbean,Lower middle income,Honduras,,,,
HPC,,,,Heavily indebted poor countries (HIPC),Heavily indebted poor countries aggregate.,,,
HRV,HRK,Europe & Central Asia,Upper middle income,Croatia,,,,
HTI,,Latin America & Caribbean,Low income,Haiti,Fiscal year end: September 30, reporting period for national accounts data: FY.,,
HUN,HUF,Europe & Central Asia,High income,Hungary,,,,
IBD,,,,IBRD only,IBRD only group aggregate.,,,
IBT,,,,IDA & IBRD total,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only).",,,
IDA,,,,IDA total,IDA total group aggregate (includes IDA only and IDA blend).,,,
IDB,,,,IDA blend,IDA blend group aggregate.,,,
IDN,IDR,East Asia & Pacific,Lower middle income,Indonesia,Fiscal year end: March 31, reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. Statistics Indonesia revised national accounts based on SNA2008. The new base year is 2010. Price valuation is in basic prices.,,
IDX,,,,IDA only,IDA only group aggregate.,,,
IMN,,Europe & Central Asia,High income,Isle of Man,WB-3 code changed from IMY to IMN to align with ISO code.,,,
IND,INR,South Asia,Lower middle income,India,Fiscal year end: March 31, reporting period for national accounts data: FY. Based on official government statistics, the new base year is 2011/12. India reports using SNA 2008.,
IRL,,Europe & Central Asia,High income,Ireland,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
IRN,,Middle East & North Africa,Upper middle income,"Iran, Islamic Rep.","Fiscal year end: March 20; reporting period for national accounts data: FY. Based on data from the Central Bank of Iran, the new base year is 2004/05.",,,
IRQ,,Middle East & North Africa,Upper middle income,Iraq,"Based on official government statistics, the new base year is 2007.",,,
ISL,ISK,Europe & Central Asia,High income,Iceland,,,,
ISR,ILS,Middle East & North Africa,High income,Israel,,,,
ITA,,Europe & Central Asia,High income,Italy,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
JAM,JMD,Latin America & Caribbean,Upper middle income,Jamaica,,,,
JOR,,Middle East & North Africa,Lower middle income,Jordan,,,,
JPN,JPY,East Asia & Pacific,High income,Japan,Fiscal year end: March 31, reporting period for national accounts data: CY.,,
KAZ,,Europe & Central Asia,Upper middle income,Kazakhstan,,,,
KEN,,Sub-Saharan Africa,Lower middle income,Kenya,Fiscal year end: June 30, reporting period for national accounts data: CY.,,
KGZ,,Europe & Central Asia,Lower middle income,Kyrgyz Republic,,,,
KHM,,East Asia & Pacific,Lower middle income,Cambodia,,,,
KIR,,East Asia & Pacific,Lower middle income,Kiribati,"Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.",,,
KNA,,Latin America & Caribbean,High income,St. Kitts and Nevis,,,,
KOR,KRW,East Asia & Pacific,High income,"Korea, Rep.",The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.,,,
KWT,KWD,Middle East & North Africa,High income,Kuwait,Fiscal year end: June 30, reporting period for national accounts data: CY.,,
LAC,,,,Latin America & Caribbean (excluding high income),Latin America and Caribbean regional aggregate (does not include high-income economies).,,,
LAO,,East Asia & Pacific,Lower middle income,Lao PDR,,,,
LBN,,Middle East & North Africa,Upper middle income,Lebanon,The new reference year is 2010.,,,
LBR,,Sub-Saharan Africa,Low income,Liberia,National accounts local currency data have been revised to be reported in U.S. dollars instead of Liberian dollars.,,,
LBY,,Middle East & North Africa,Upper middle income,Libya,Official statistics for Libya are not available, national accounts data are based on World Bank estimates.,,
LCA,,Latin America & Caribbean,Upper middle income,St. Lucia,,,,
LCN,,,,Latin America & Caribbean,Latin America and Caribbean regional aggregate (includes all income levels).,,,
LDC,,,,Least developed countries: UN classification,Least developed countries (UN classification) aggregate.,,,
LIC,,,,Low income,"Low income group aggregate. Low-income economies are those in which 2015 GNI per capita was $1,025 or less.",,,
LIE,,Europe & Central Asia,High income,Liechtenstein,National accounts from 2013 to 2014 are revised according to the SNA 2008.,,,
LKA,LKR,South Asia,Lower middle income,Sri Lanka,Bureau of Census and Statistics revised national accounts from 2010-2015. Value added is in basic prices, prior to 2010 in producer prices.,,
LMC,,,,Lower middle income,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2015 GNI per capita was between $1,026 and $4,035.",,,
LMY,,,,Low & middle income,"Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2015 GNI per capita was $12,475 or less.",,,
LSO,,Sub-Saharan Africa,Lower middle income,Lesotho,Fiscal year end: March 31, reporting period for national accounts data: CY. The new base year is 2012.,,
LTE,,,,Late-demographic dividend,"Late-dividend countries are mostly upper-middle-income countries where fertility rates are typically above replacement levels of 2.1 births per woman, but fertility continues to decline.",,,
LTU,,Europe & Central Asia,High income,Lithuania,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",,,
LUX,,Europe & Central Asia,High income,Luxembourg,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
LVA,,Europe & Central Asia,High income,Latvia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",,,
MAC,,East Asia & Pacific,High income,"Macao SAR, China","On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",,,
MAF,,Latin America & Caribbean,High income,St. Martin (French part),,,,
MAR,MAD,Middle East & North Africa,Lower middle income,Morocco,,,,
MCO,,Europe & Central Asia,High income,Monaco,,,,
MDA,,Europe & Central Asia,Lower middle income,Moldova,Due to data reliability issues estimates prior to 1995 have been deleted. The new base year is 2000.,,,
MDG,,Sub-Saharan Africa,Low income,Madagascar,,,,
MDV,,South Asia,Upper middle income,Maldives,,,,
MEA,,,,Middle East & North Africa,Middle East and North Africa regional aggregate (includes all income levels).,,,
MEX,MXN,Latin America & Caribbean,Upper middle income,Mexico,,,,
MHL,,East Asia & Pacific,Upper middle income,Marshall Islands,Fiscal year ends on September 30, reporting period for national accounts data: FY.,,
MIC,,,,Middle income,"Middle income group aggregate. Middle-income economies are those in which 2015 GNI per capita was between $1,026 and $12,475.",,,
MKD,,Europe & Central Asia,Upper middle income,"Macedonia, FYR",,,,
MLI,,Sub-Saharan Africa,Low income,Mali,The new base year is 1999.,,,
MLT,MTL,Middle East & North Africa,High income,Malta,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN. The new reference year is 2010.",,,
MMR,,East Asia & Pacific,Lower middle income,Myanmar,Fiscal year end: March 31, reporting period for national accounts data: FY. Based on the government’s Planning Department and the IMF national accounts have been revised from 2010 to 2015. The new base year is 2010/11.,,
MNA,,,,Middle East & North Africa (excluding high income),Middle East and North Africa regional aggregate (does not include high-income economies).,,,
MNE,,Europe & Central Asia,Upper middle income,Montenegro,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",,,
MNG,,East Asia & Pacific,Lower middle income,Mongolia,,,,
MNP,,East Asia & Pacific,High income,Northern Mariana Islands,,,,
MOZ,,Sub-Saharan Africa,Low income,Mozambique,,,,
MRT,,Sub-Saharan Africa,Lower middle income,Mauritania,Based on official statistics from the Ministry of Economic Affairs and Development, the base year has been returned to 2004.,,
MUS,,Sub-Saharan Africa,Upper middle income,Mauritius,Authorities made significant revisions to the national accounts from 2006 to 2015.,,,
MWI,,Sub-Saharan Africa,Low income,Malawi,Fiscal year end: March 31, reporting period for national accounts data: CY. The new base year is 2010.,,
MYS,MYR,East Asia & Pacific,Upper middle income,Malaysia,,,,
NAC,,,,North America,North America regional aggregate. There are no economies in North America classified as low or middle income.,,,
NAM,,Sub-Saharan Africa,Upper middle income,Namibia,Fiscal year end: March 31, reporting period for national accounts data: CY.,,
NCL,,East Asia & Pacific,High income,New Caledonia,,,,
NER,,Sub-Saharan Africa,Low income,Niger,,,,
NGA,,Sub-Saharan Africa,Lower middle income,Nigeria,,,,
NIC,,Latin America & Caribbean,Lower middle income,Nicaragua,,,,
NLD,,Europe & Central Asia,High income,Netherlands,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
NOR,NOK,Europe & Central Asia,High income,Norway,,,,
NPL,,South Asia,Low income,Nepal,Fiscal year end: July 14, reporting period for national accounts data: FY.,,
NRU,,East Asia & Pacific,Upper middle income,Nauru,,,,
NZL,,East Asia & Pacific,High income,New Zealand,Fiscal year end: March 31, reporting period for national accounts data: CY.,,
OED,,,,OECD members,OECD members aggregate.,,,
OMN,,Middle East & North Africa,High income,Oman,National Center for Statistics and Information revised national accounts from 2011 to 2015 based on the SNA 2008. Value added is in basic prices, and before 2011 in producer prices.,,
OSS,,,,Other small states,Other small states aggregate.,,,
PAK,PKR,South Asia,Lower middle income,Pakistan,Fiscal year end: June 30, reporting period for national accounts data: FY.,,
PAN,,Latin America & Caribbean,Upper middle income,Panama,Based on government statistics national accounts have been revised from 2014.,,,
PER,PEN,Latin America & Caribbean,Upper middle income,Peru,,,,
PHL,PHP,East Asia & Pacific,Lower middle income,Philippines,,,,
PLW,,East Asia & Pacific,High income,Palau,Fiscal year ends on September 30, reporting period for national accounts data: FY. National accounts data are revised based on IMF reports.,,
PNG,,East Asia & Pacific,Lower middle income,Papua New Guinea,,,,
POL,PLN,Europe & Central Asia,High income,Poland,,,,
PRE,,,,Pre-demographic dividend,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth.",,,
PRI,,Latin America & Caribbean,High income,Puerto Rico,Fiscal year end: June 30, reporting period for national accounts data: FY.,,
PRK,,East Asia & Pacific,Low income,"Korea, Dem. People's Rep.",,,,
PRT,,Europe & Central Asia,High income,Portugal,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
PRY,,Latin America & Caribbean,Upper middle income,Paraguay,,,,
PSE,,Middle East & North Africa,Lower middle income,West Bank and Gaza,WB-3 code changed from WBG to PSE to align with ISO code. National accounts local currency data are reported in U.S. dollars.,,,
PSS,,,,Pacific island small states,Pacific island small states aggregate.,,,
PST,,,,Post-demographic dividend,Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.,,,
PYF,,East Asia & Pacific,High income,French Polynesia,,,,
QAT,,Middle East & North Africa,High income,Qatar,,,,
ROU,RON,Europe & Central Asia,Upper middle income,Romania,WB-3 code changed from ROM to ROU to align with ISO code.,,,
RUS,RUB,Europe & Central Asia,Upper middle income,Russian Federation,The new base year is 2011.,,,
RWA,,Sub-Saharan Africa,Low income,Rwanda,,,,
SAS,,,,South Asia,South Asia regional aggregate. There are no economies in South Asia classified as high income.,,,
SAU,SAR,Middle East & North Africa,High income,Saudi Arabia,Based on data from the Saudi Central Department of Statistics and Information under the authority of the Ministry of Economy and Planning.,,,
SDN,,Sub-Saharan Africa,Lower middle income,Sudan,"Demographic data (total population, life expectancy, fertility, child mortality, migration), education series, and HIV prevalence are reported separately for Sudan and South Sudan; see specific notes for other series. National accounts data exclude South Sudan after July 9, 2011. Other data reported for Sudan generally include South Sudan to 2011 unless otherwise noted. External debt data and land-related data (including population density, but excluding surface area after 2010) for all years include South Sudan.",,,
SEN,,Sub-Saharan Africa,Low income,Senegal,,,,
SGP,SGD,East Asia & Pacific,High income,Singapore,Fiscal year end: March 31, reporting period for national accounts data: CY. Country reports using a blend of SNA 1993 and SNA 2008.,,
SLB,,East Asia & Pacific,Lower middle income,Solomon Islands,,,,
SLE,,Sub-Saharan Africa,Low income,Sierra Leone,Fiscal year end: June 30, reporting period for national accounts data: CY.,,
SLV,,Latin America & Caribbean,Lower middle income,El Salvador,,,,
SMR,,Europe & Central Asia,High income,San Marino,,,,
SOM,,Sub-Saharan Africa,Low income,Somalia,,,,
SRB,,Europe & Central Asia,Upper middle income,Serbia,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised. The new reference year for chain linked series is 2010.",,,
SSA,,,,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa regional aggregate (does not include high-income economies).,,,
SSD,,Sub-Saharan Africa,Low income,South Sudan,"South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available.",,,
SSF,,,,Sub-Saharan Africa,Sub-Saharan Africa regional aggregate (includes all income levels).,,,
SST,,,,Small states,"Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)",,,
STP,,Sub-Saharan Africa,Lower middle income,São Tomé and Principe,The new base year is 2008.,,,
SUR,,Latin America & Caribbean,Upper middle income,Suriname,,,,
SVK,,Europe & Central Asia,High income,Slovak Republic,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",,,
SVN,,Europe & Central Asia,High income,Slovenia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",,,
SWE,SEK,Europe & Central Asia,High income,Sweden,Fiscal year end: June 30, reporting period for national accounts data: CY.,,
SWZ,,Sub-Saharan Africa,Lower middle income,Swaziland,Fiscal year end: March 31, reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.,,
SXM,,Latin America & Caribbean,High income,Sint Maarten (Dutch part),,,,
SYC,,Sub-Saharan Africa,High income,Seychelles,,,,
SYR,,Middle East & North Africa,Lower middle income,Syrian Arab Republic,,,,
TCA,,Latin America & Caribbean,High income,Turks and Caicos Islands,,,,
TCD,,Sub-Saharan Africa,Low income,Chad,,,,
TEA,,,,East Asia & Pacific (IDA & IBRD),East Asia & Pacific (IDA & IBRD countries) aggregate.,,,
