Date,Australia/US,British/US,Canadian/US,Dutch/US,French/US,German/US,Japanese/US,Swiss/US
1980-02-28,0.91,0.44,1.15,1.94,4.13,1.764,248.4,1.672
1980-02-29,0.912,0.44,1.15,1.954,4.16,1.777,251.65,1.703
1980-03-03,0.912,0.45,1.14,1.961,4.182,1.783,247.85,1.715
1980-03-04,0.911,0.45,1.15,1.968,4.193,1.791,246.4,1.721
1980-03-05,0.912,0.45,1.15,1.963,4.19,1.789,246.88,1.711
1980-03-06,0.913,0.45,1.15,1.971,4.202,1.795,248.1,1.715
1980-03-07,0.913,0.45,1.16,1.972,4.202,1.796,247.85,1.715
1980-03-10,0.914,0.45,1.16,1.983,4.23,1.81,247.93,1.735
1980-03-11,0.912,0.45,1.17,1.988,4.243,1.812,247.3,1.735
1980-03-12,0.912,0.45,1.17,1.987,4.228,1.808,247.5,1.73
1980-03-13,0.914,0.45,1.17,1.999,4.251,1.822,248.1,1.744
1980-03-14,0.915,0.45,1.18,2.011,4.276,1.833,249.05,1.754
1980-03-17,0.918,0.46,1.18,2.059,4.376,1.874,248.9,1.788
1980-03-18,0.92,0.46,1.18,2.059,4.385,1.877,249.1,1.781
1980-03-19,0.921,0.46,1.18,2.056,4.371,1.873,248.65,1.774
1980-03-20,0.92,0.46,1.18,2.047,4.349,1.866,248.7,1.762
1980-03-21,0.921,0.46,1.18,2.056,4.365,1.878,248.92,1.779
1980-03-24,0.921,0.46,1.19,2.069,4.387,1.888,249.15,1.789
1980-03-25,0.921,0.46,1.19,2.076,4.399,1.897,249.07,1.798
1980-03-26,0.92,0.46,1.19,2.074,4.395,1.897,249.1,1.795
1980-03-27,0.923,0.46,1.19,2.099,4.426,1.92,249.9,1.829
1980-03-28,0.923,0.46,1.19,2.111,4.455,1.932,249.65,1.833
1980-03-31,0.924,0.46,1.19,2.145,4.512,1.952,249.95,1.852
1980-04-01,0.928,0.46,1.2,2.146,4.52,1.962,254.65,1.864
1980-04-02,0.934,0.46,1.19,2.134,4.512,1.955,257.15,1.856
1980-04-03,0.933,0.47,1.19,2.142,4.524,1.964,257.2,1.864
1980-04-04,0.935,0.47,1.19,2.15,4.535,1.97,258.75,1.87
1980-04-07,0.937,0.47,1.19,2.152,4.55,1.975,261.4,1.877
1980-04-08,0.932,0.46,1.18,2.118,4.465,1.941,258.2,1.841
1980-04-09,0.925,0.46,1.18,2.071,4.37,1.89,251.8,1.786
1980-04-10,0.922,0.46,1.18,2.055,4.34,1.877,249.5,1.755
1980-04-11,0.917,0.46,1.18,2.058,4.35,1.877,252.5,1.748
1980-04-14,0.915,0.45,1.18,2.053,4.343,1.872,251.35,1.743
1980-04-15,0.916,0.46,1.19,2.073,4.368,1.895,252.7,1.77
1980-04-16,0.914,0.45,1.19,2.04,4.318,1.86,249.1,1.731
1980-04-17,0.914,0.45,1.19,2.04,4.308,1.857,248.7,1.737
1980-04-18,0.912,0.45,1.18,2.044,4.322,1.854,249.4,1.74
1980-04-21,0.913,0.45,1.18,2.033,4.305,1.849,249.8,1.724
1980-04-22,0.912,0.45,1.18,2.043,4.329,1.862,250,1.744
1980-04-23,0.909,0.44,1.18,2.005,4.253,1.823,243.25,1.699
1980-04-24,0.904,0.44,1.18,2.005,4.239,1.82,244.65,1.701
1980-04-25,0.904,0.44,1.19,1.996,4.228,1.813,246,1.694
1980-04-28,0.9,0.44,1.19,1.987,4.197,1.798,241.3,1.672
1980-04-29,0.897,0.44,1.19,1.992,4.202,1.797,239.3,1.67
1980-04-30,0.897,0.44,1.19,1.992,4.204,1.8,239.35,1.668
1980-05-01,0.898,0.44,1.19,1.994,4.207,1.802,240.5,1.668
1980-05-02,0.898,0.44,1.19,2.023,4.248,1.824,240.35,1.695
1980-05-05,0.898,0.44,1.19,1.989,4.205,1.796,237.2,1.663
1980-05-06,0.892,0.44,1.19,1.982,4.192,1.793,231.8,1.656
1980-05-07,0.89,0.44,1.18,1.975,4.187,1.786,231.85,1.65
1980-05-08,0.89,0.44,1.18,1.981,4.202,1.793,233.6,1.662
1980-05-09,0.889,0.44,1.18,1.998,4.235,1.812,231.8,1.682
1980-05-12,0.887,0.44,1.18,1.973,4.193,1.791,226.8,1.661
1980-05-13,0.885,0.44,1.18,1.979,4.205,1.794,227.75,1.667
1980-05-14,0.885,0.44,1.17,1.972,4.19,1.789,227.2,1.66
1980-05-15,0.886,0.43,1.18,1.972,4.185,1.791,227.8,1.665
1980-05-16,0.887,0.44,1.17,1.975,4.195,1.794,229.6,1.671
1980-05-19,0.886,0.44,1.18,1.979,4.204,1.803,229,1.677
1980-05-20,0.884,0.44,1.17,1.98,4.201,1.803,226.75,1.68
1980-05-21,0.882,0.43,1.16,1.965,4.164,1.788,224.4,1.663
1980-05-22,0.879,0.43,1.16,1.967,4.159,1.79,224.05,1.662
1980-05-23,0.877,0.43,1.16,1.952,4.125,1.779,221.25,1.65
1980-05-27,0.871,0.42,1.16,1.937,4.111,1.762,219.2,1.638
1980-05-28,0.873,0.42,1.16,1.948,4.123,1.772,223.5,1.645
1980-05-29,0.873,0.43,1.16,1.953,4.133,1.779,223.8,1.653
1980-05-30,0.875,0.43,1.16,1.954,4.136,1.779,223,1.662
1980-06-02,0.872,0.43,1.16,1.961,4.145,1.783,223.55,1.66
1980-06-03,0.875,0.43,1.16,1.953,4.148,1.775,222.7,1.654
1980-06-04,0.874,0.43,1.16,1.949,4.138,1.774,221.4,1.647
1980-06-05,0.874,0.43,1.16,1.951,4.134,1.775,220.35,1.648
1980-06-06,0.871,0.43,1.15,1.948,4.124,1.772,219.3,1.635
1980-06-09,0.867,0.43,1.15,1.934,4.106,1.762,216.35,1.623
1980-06-10,0.867,0.43,1.15,1.933,4.104,1.762,215.8,1.623
1980-06-11,0.867,0.43,1.15,1.937,4.11,1.766,217.75,1.629
1980-06-12,0.866,0.43,1.15,1.935,4.112,1.763,216.5,1.624
1980-06-13,0.865,0.43,1.15,1.925,4.098,1.755,216,1.614
1980-06-16,0.865,0.43,1.15,1.938,4.115,1.768,216,1.634
1980-06-17,0.865,0.43,1.15,1.934,4.117,1.763,216,1.63
1980-06-18,0.865,0.43,1.15,1.93,4.102,1.764,215.75,1.623
1980-06-19,0.866,0.43,1.15,1.935,4.109,1.767,216.35,1.638
1980-06-20,0.866,0.43,1.15,1.939,4.11,1.768,217.2,1.632
1980-06-23,0.864,0.43,1.15,1.938,4.106,1.767,216.07,1.635
1980-06-24,0.865,0.43,1.15,1.941,4.109,1.77,216.6,1.64
1980-06-25,0.866,0.43,1.15,1.938,4.105,1.769,217.95,1.638
1980-06-26,0.865,0.43,1.15,1.936,4.103,1.765,217.2,1.629
1980-06-27,0.865,0.43,1.15,1.934,4.098,1.764,217.55,1.628
1980-06-30,0.866,0.42,1.15,1.932,4.094,1.764,219.9,1.63
1980-07-01,0.865,0.42,1.15,1.928,4.09,1.762,219.5,1.627
1980-07-02,0.864,0.42,1.15,1.925,4.077,1.759,218.8,1.62
1980-07-03,0.864,0.43,1.14,1.924,4.074,1.756,219,1.613
1980-07-07,0.862,0.42,1.14,1.904,4.039,1.739,217.9,1.588
1980-07-08,0.863,0.42,1.14,1.904,4.04,1.74,219.1,1.591
1980-07-09,0.862,0.42,1.15,1.904,4.043,1.741,218.15,1.596
1980-07-10,0.861,0.42,1.15,1.902,4.037,1.738,216.85,1.595
1980-07-11,0.86,0.42,1.15,1.903,4.039,1.739,217.7,1.595
1980-07-14,0.861,0.42,1.15,1.908,4.044,1.744,218.25,1.605
1980-07-15,0.863,0.42,1.15,1.911,4.063,1.748,219.4,1.61
1980-07-16,0.861,0.42,1.15,1.908,4.052,1.744,218.8,1.605
1980-07-17,0.861,0.42,1.15,1.899,4.036,1.736,218.5,1.597
1980-07-18,0.862,0.42,1.15,1.913,4.058,1.747,220.27,1.611
1980-07-21,0.868,0.42,1.15,1.906,4.045,1.742,220.38,1.603
1980-07-22,0.861,0.42,1.15,1.902,4.035,1.739,221,1.598
1980-07-23,0.864,0.42,1.15,1.901,4.038,1.74,224.15,1.601
1980-07-24,0.862,0.42,1.15,1.897,4.032,1.735,223.2,1.595
1980-07-25,0.863,0.42,1.16,1.901,4.036,1.739,225.4,1.599
1980-07-28,0.864,0.42,1.16,1.904,4.043,1.734,227.4,1.608
1980-07-29,0.865,0.42,1.16,1.918,4.074,1.759,226.8,1.624
1980-07-30,0.866,0.43,1.17,1.937,4.11,1.777,227.05,1.648
1980-07-31,0.868,0.43,1.16,1.942,4.122,1.781,227.4,1.648
1980-08-01,0.869,0.43,1.16,1.956,4.161,1.793,227,1.663
1980-08-04,0.868,0.43,1.16,1.945,4.136,1.785,226.05,1.65
1980-08-05,0.866,0.42,1.16,1.937,4.114,1.776,226.25,1.64
1980-08-06,0.865,0.42,1.16,1.929,4.096,1.769,225.3,1.63
1980-08-07,0.866,0.42,1.16,1.943,4.122,1.782,225.7,1.645
1980-08-08,0.866,0.42,1.16,1.943,4.123,1.783,226.3,1.651
1980-08-11,0.865,0.42,1.16,1.942,4.13,1.783,225.78,1.651
1980-08-12,0.864,0.42,1.16,1.939,4.125,1.78,222.9,1.641
1980-08-13,0.862,0.42,1.16,1.94,4.129,1.782,224,1.644
1980-08-14,0.863,0.42,1.16,1.941,4.135,1.786,224.4,1.645
1980-08-15,0.863,0.42,1.16,1.943,4.137,1.787,225.75,1.644
1980-08-18,0.865,0.42,1.16,1.952,4.159,1.798,226.3,1.659
1980-08-19,0.864,0.42,1.16,1.957,4.165,1.8,224.38,1.661
1980-08-20,0.863,0.42,1.16,1.954,4.158,1.797,224.15,1.659
1980-08-21,0.864,0.42,1.16,1.955,4.166,1.796,224.75,1.657
1980-08-22,0.864,0.42,1.16,1.967,4.188,1.807,223.8,1.674
1980-08-25,0.863,0.42,1.16,1.964,4.19,1.805,223.2,1.67
1980-08-26,0.861,0.42,1.16,1.965,4.189,1.802,219.4,1.662
1980-08-27,0.861,0.42,1.16,1.962,4.187,1.8,219.68,1.662
1980-08-28,0.858,0.42,1.16,1.95,4.157,1.787,218,1.645
1980-08-29,0.859,0.42,1.16,1.952,4.157,1.792,219.1,1.649
1980-09-02,0.856,0.41,1.16,1.938,4.138,1.778,215.93,1.636
1980-09-03,0.855,0.41,1.16,1.931,4.13,1.776,216.7,1.629
1980-09-04,0.854,0.41,1.16,1.934,4.129,1.777,217.2,1.63
1980-09-05,0.856,0.41,1.16,1.937,4.144,1.782,218,1.635
1980-09-08,0.855,0.41,1.16,1.934,4.135,1.777,216.7,1.626
1980-09-09,0.855,0.42,1.16,1.935,4.138,1.78,216.8,1.631
1980-09-10,0.855,0.42,1.16,1.935,4.133,1.779,216.55,1.63
1980-09-11,0.854,0.41,1.16,1.933,4.133,1.778,214.47,1.629
1980-09-12,0.853,0.41,1.16,1.935,4.136,1.78,213.2,1.631
1980-09-15,0.853,0.42,1.16,1.938,4.143,1.783,212.65,1.632
1980-09-16,0.853,0.42,1.17,1.939,4.146,1.784,211.47,1.634
1980-09-17,0.853,0.42,1.17,1.938,4.142,1.781,211.95,1.63
1980-09-18,0.853,0.42,1.17,1.947,4.164,1.792,212.98,1.642
1980-09-19,0.853,0.42,1.17,1.956,4.172,1.794,210.8,1.645
1980-09-22,0.854,0.42,1.17,1.963,4.198,1.807,214.8,1.658
1980-09-23,0.857,0.42,1.16,1.968,4.198,1.812,218.15,1.661
1980-09-24,0.856,0.42,1.17,1.951,4.165,1.795,214.45,1.645
1980-09-25,0.855,0.42,1.17,1.953,4.172,1.798,215,1.645
1980-09-26,0.855,0.42,1.17,1.961,4.179,1.802,211.7,1.646
1980-09-29,0.855,0.42,1.17,1.968,4.206,1.814,212.4,1.654
1980-09-30,0.854,0.42,1.17,1.968,4.202,1.813,210.85,1.654
1980-10-01,0.851,0.42,1.17,1.963,4.193,1.809,208.5,1.642
1980-10-02,0.851,0.42,1.17,1.968,4.203,1.812,208.15,1.646
1980-10-03,0.851,0.42,1.17,1.968,4.202,1.811,207.6,1.646
1980-10-06,0.85,0.42,1.17,1.958,4.178,1.799,207.9,1.633
1980-10-07,0.851,0.42,1.17,1.963,4.188,1.805,208.85,1.638
1980-10-08,0.85,0.42,1.17,1.961,4.182,1.804,208.35,1.638
1980-10-09,0.85,0.42,1.17,1.964,4.184,1.805,208.95,1.636
1980-10-10,0.85,0.42,1.17,1.963,4.183,1.804,209,1.636
1980-10-14,0.849,0.42,1.16,1.974,4.202,1.817,206.5,1.645
1980-10-15,0.85,0.42,1.17,1.982,4.22,1.826,207.3,1.648
1980-10-16,0.851,0.41,1.17,1.984,4.224,1.828,208.15,1.651
1980-10-17,0.851,0.41,1.17,1.997,4.255,1.844,208.2,1.658
1980-10-20,0.851,0.41,1.17,2.018,4.294,1.865,208.65,1.658
1980-10-21,0.851,0.41,1.17,2.016,4.295,1.862,207.95,1.657
1980-10-22,0.852,0.41,1.17,2.018,4.294,1.864,209.35,1.664
1980-10-23,0.853,0.41,1.17,2.017,4.292,1.863,210.4,1.663
1980-10-24,0.853,0.41,1.17,2.023,4.306,1.867,212.75,1.676
1980-10-27,0.855,0.41,1.17,2.034,4.329,1.879,213.75,1.7
1980-10-28,0.855,0.41,1.18,2.049,4.361,1.894,213.25,1.708
1980-10-29,0.854,0.41,1.17,2.041,4.346,1.885,210,1.696
1980-10-30,0.852,0.41,1.18,2.049,4.371,1.898,210.5,1.712
1980-10-31,0.853,0.41,1.18,2.06,4.388,1.906,211.05,1.715
1980-11-03,0.854,0.41,1.18,2.071,4.406,1.916,210.8,1.717
1980-11-05,0.854,0.41,1.18,2.102,4.474,1.943,211.35,1.742
1980-11-06,0.855,0.41,1.19,2.105,4.482,1.946,212.65,1.745
1980-11-07,0.858,0.41,1.19,2.108,4.505,1.958,213.1,1.745
1980-11-10,0.859,0.42,1.18,2.058,4.38,1.902,209.5,1.708
1980-11-12,0.856,0.41,1.18,2.067,4.41,1.901,213.1,1.711
1980-11-13,0.854,0.41,1.18,2.054,4.39,1.893,212.3,1.704
1980-11-14,0.856,0.42,1.19,2.063,4.413,1.905,212.9,1.714
1980-11-17,0.857,0.42,1.19,2.095,4.475,1.931,213.6,1.737
1980-11-18,0.858,0.42,1.19,2.082,4.448,1.919,213.3,1.727
1980-11-19,0.856,0.42,1.19,2.063,4.412,1.903,212.65,1.716
1980-11-20,0.857,0.42,1.19,2.073,4.435,1.915,213.7,1.724
1980-11-21,0.857,0.42,1.19,2.078,4.455,1.917,213.8,1.728
1980-11-24,0.857,0.43,1.19,2.08,4.453,1.917,213.35,1.732
1980-11-25,0.857,0.42,1.19,2.074,4.442,1.911,213.65,1.727
1980-11-26,0.858,0.42,1.19,2.085,4.459,1.921,216.45,1.729
1980-11-28,0.859,0.42,1.19,2.088,4.472,1.927,216.6,1.739
1980-12-01,0.86,0.43,1.19,2.103,4.501,1.941,217.85,1.753
1980-12-02,0.859,0.43,1.19,2.108,4.515,1.948,216.55,1.758
1980-12-03,0.86,0.43,1.19,2.103,4.5,1.94,213.55,1.751
1980-12-04,0.858,0.43,1.19,2.105,4.502,1.944,211,1.752
1980-12-05,0.858,0.43,1.2,2.125,4.536,1.961,211.6,1.772
1980-12-08,0.855,0.43,1.2,2.128,4.537,1.963,208.5,1.775
1980-12-09,0.857,0.43,1.2,2.15,4.582,1.983,209.1,1.793
1980-12-10,0.856,0.43,1.2,2.178,4.642,2.007,210.1,1.82
1980-12-11,0.86,0.43,1.2,2.191,4.658,2.019,210.45,1.827
1980-12-12,0.86,0.43,1.2,2.183,4.635,2.007,210.5,1.817
1980-12-15,0.857,0.43,1.2,2.165,4.625,1.99,209.4,1.809
1980-12-16,0.859,0.43,1.21,2.193,4.674,2.019,208.75,1.831
1980-12-17,0.859,0.43,1.21,2.152,4.593,1.979,208.9,1.803
1980-12-18,0.858,0.43,1.2,2.164,4.615,1.993,209.5,1.807
1980-12-19,0.857,0.43,1.19,2.148,4.586,1.974,208.2,1.801
1980-12-22,0.856,0.43,1.19,2.13,4.54,1.957,207.65,1.773
1980-12-23,0.852,0.42,1.19,2.121,4.498,1.953,207.9,1.775
1980-12-24,0.851,0.42,1.19,2.12,4.485,1.943,208,1.763
1980-12-26,0.85,0.42,1.19,2.118,4.525,1.943,208.4,1.773
1980-12-29,0.851,0.42,1.19,2.133,4.54,1.955,206.65,1.775
1980-12-30,0.847,0.42,1.19,2.123,4.523,1.952,203.1,1.767
1980-12-31,0.846,0.42,1.19,2.15,4.548,1.974,203.1,1.788
1981-01-02,0.847,0.42,1.19,2.148,4.565,1.975,202.5,1.79
1981-01-05,0.844,0.41,1.19,2.106,4.492,1.939,199.05,1.757
1981-01-06,0.841,0.41,1.19,2.105,4.476,1.935,199.7,1.751
1981-01-07,0.841,0.41,1.19,2.116,4.503,1.948,201.05,1.767
1981-01-08,0.843,0.42,1.19,2.135,4.543,1.963,201.7,1.775
1981-01-09,0.844,0.42,1.19,2.149,4.573,1.979,203,1.797
1981-01-12,0.847,0.42,1.19,2.16,4.588,1.985,204.1,1.805
1981-01-13,0.848,0.42,1.19,2.176,4.629,2.001,203.3,1.812
1981-01-14,0.847,0.42,1.19,2.167,4.614,1.993,203.05,1.807
1981-01-15,0.846,0.42,1.19,2.176,4.632,2.001,201.75,1.816
1981-01-16,0.848,0.42,1.19,2.18,4.64,2.007,202.9,1.822
1981-01-19,0.847,0.42,1.19,2.182,4.64,2.009,202.3,1.829
1981-01-20,0.846,0.41,1.19,2.174,4.641,2,200.65,1.819
1981-01-21,0.843,0.41,1.19,2.167,4.605,1.994,199.2,1.812
1981-01-22,0.846,0.42,1.19,2.199,4.68,2.025,200.85,1.834
1981-01-23,0.847,0.42,1.19,2.208,4.698,2.035,202.75,1.841
1981-01-26,0.842,0.41,1.19,2.228,4.733,2.052,203.55,1.851
1981-01-27,0.85,0.42,1.19,2.248,4.769,2.071,202.5,1.87
1981-01-28,0.851,0.42,1.19,2.264,4.799,2.085,204.5,1.883
1981-01-29,0.852,0.42,1.2,2.274,4.827,2.094,204.6,1.903
1981-01-30,0.849,0.42,1.19,2.31,4.908,2.132,206.7,1.932
1981-02-02,0.855,0.43,1.19,2.299,4.892,2.121,203.15,1.92
1981-02-03,0.859,0.43,1.2,2.315,4.92,2.135,204.05,1.937
1981-02-04,0.857,0.42,1.2,2.294,4.867,2.114,202.9,1.916
1981-02-05,0.858,0.43,1.2,2.328,4.946,2.146,202.95,1.944
1981-02-06,0.858,0.43,1.2,2.323,4.925,2.141,203.8,1.942
1981-02-09,0.858,0.43,1.2,2.319,4.921,2.138,203.9,1.941
1981-02-10,0.858,0.43,1.2,2.33,4.945,2.148,203.9,1.949
1981-02-11,0.858,0.43,1.2,2.331,4.955,2.15,203.9,1.952
1981-02-13,0.865,0.44,1.2,2.406,5.108,2.22,207.45,2.018
1981-02-17,0.865,0.44,1.21,2.388,5.088,2.196,206.8,1.996
1981-02-18,0.862,0.44,1.2,2.382,5.08,2.188,206.55,1.988
1981-02-19,0.863,0.44,1.2,2.329,4.98,2.132,206.8,1.925
1981-02-20,0.857,0.43,1.2,2.285,4.91,2.096,206.8,1.885
1981-02-23,0.857,0.45,1.2,2.312,4.925,2.112,208.05,1.903
1981-02-24,0.86,0.45,1.2,2.335,4.968,2.116,207,1.919
1981-02-25,0.861,0.45,1.2,2.327,4.956,2.107,207.3,1.917
1981-02-26,0.863,0.45,1.2,2.343,4.981,2.116,207.9,1.948
1981-02-27,0.866,0.45,1.2,2.352,5.015,2.131,209.7,1.962
1981-03-02,0.868,0.46,1.2,2.378,5.071,2.152,211.1,1.983
1981-03-03,0.869,0.45,1.2,2.378,5.053,2.153,208.6,1.971
1981-03-04,0.865,0.45,1.2,2.362,5.03,2.138,208.6,1.948
1981-03-05,0.866,0.45,1.2,2.365,5.032,2.139,208.9,1.945
1981-03-06,0.866,0.46,1.2,2.362,5.024,2.136,209,1.958
1981-03-09,0.864,0.45,1.2,2.338,4.984,2.109,206,1.929
1981-03-10,0.861,0.45,1.2,2.331,4.967,2.108,207,1.923
1981-03-11,0.861,0.45,1.2,2.342,4.993,2.116,207.6,1.937
1981-03-12,0.861,0.45,1.2,2.34,4.984,2.113,207.6,1.937
1981-03-13,0.86,0.45,1.19,2.335,4.978,2.11,207.55,1.927
1981-03-16,0.859,0.45,1.19,2.316,4.938,2.092,207.27,1.902
1981-03-17,0.858,0.44,1.19,2.309,4.928,2.088,207.7,1.901
1981-03-18,0.855,0.44,1.18,2.275,4.854,2.056,207.6,1.865
1981-03-19,0.853,0.44,1.18,2.27,4.833,2.05,208.75,1.87
1981-03-20,0.852,0.44,1.18,2.293,4.87,2.068,208.25,1.887
1981-03-23,0.855,0.44,1.18,2.313,4.919,2.087,208.6,1.898
1981-03-24,0.854,0.44,1.18,2.305,4.909,2.082,208.55,1.897
1981-03-25,0.855,0.44,1.18,2.311,4.924,2.086,208.85,1.904
1981-03-26,0.858,0.45,1.18,2.343,4.985,2.113,211.45,1.928
1981-03-27,0.862,0.45,1.19,2.351,5.005,2.125,211.8,1.935
1981-03-30,0.86,0.45,1.19,2.322,4.94,2.098,211.4,1.912
1981-03-31,0.857,0.45,1.19,2.341,4.998,2.111,211.25,1.928
1981-04-01,0.859,0.45,1.18,2.32,4.96,2.098,212.4,1.917
1981-04-02,0.861,0.45,1.18,2.341,4.984,2.112,213.8,1.925
1981-04-03,0.863,0.46,1.18,2.356,5.018,2.127,213.2,1.943
1981-04-06,0.867,0.46,1.19,2.388,5.086,2.157,214,1.969
1981-04-07,0.865,0.45,1.18,2.348,4.997,2.119,213.1,1.939
1981-04-08,0.865,0.46,1.18,2.363,5.041,2.133,213.45,1.943
1981-04-09,0.865,0.46,1.19,2.375,5.059,2.144,214.1,1.954
1981-04-10,0.866,0.46,1.19,2.385,5.086,2.153,215.17,1.961
1981-04-13,0.869,0.46,1.19,2.404,5.123,2.172,216.25,1.981
1981-04-14,0.868,0.46,1.19,2.4,5.113,2.166,215.22,1.974
1981-04-15,0.87,0.46,1.2,2.417,5.15,2.179,216.7,1.989
1981-04-16,0.871,0.46,1.19,2.426,5.157,2.188,216.8,1.994
1981-04-17,0.87,0.46,1.2,2.428,5.173,2.19,217.5,1.999
1981-04-20,0.872,0.46,1.2,2.424,5.165,2.185,218.2,1.99
1981-04-21,0.871,0.46,1.19,2.43,5.164,2.182,218.35,1.993
1981-04-22,0.868,0.46,1.19,2.404,5.126,2.163,216.85,1.974
1981-04-23,0.867,0.46,1.19,2.415,5.15,2.175,215.2,1.983
1981-04-24,0.868,0.46,1.19,2.426,5.174,2.178,214.3,1.983
1981-04-27,0.867,0.46,1.19,2.425,5.169,2.182,212.1,1.991
1981-04-28,0.867,0.46,1.2,2.433,5.177,2.187,212.3,1.987
1981-04-29,0.869,0.47,1.2,2.459,5.244,2.213,214.7,2.021
1981-04-30,0.87,0.47,1.2,2.456,5.255,2.211,215.78,2.021
1981-05-01,0.871,0.47,1.2,2.452,5.235,2.203,215.75,2.018
1981-05-04,0.873,0.47,1.2,2.497,5.357,2.245,217.1,2.051
1981-05-05,0.876,0.47,1.2,2.52,5.396,2.266,217.8,2.068
1981-05-06,0.875,0.47,1.2,2.499,5.346,2.258,216.9,2.061
1981-05-07,0.876,0.48,1.2,2.525,5.374,2.275,217.9,2.076
1981-05-08,0.875,0.47,1.2,2.506,5.34,2.255,217.6,2.054
1981-05-11,0.875,0.48,1.2,2.541,5.504,2.284,217.95,2.076
1981-05-12,0.877,0.48,1.2,2.55,5.534,2.296,219.75,2.076
1981-05-13,0.878,0.48,1.2,2.553,5.533,2.296,220.45,2.078
1981-05-14,0.881,0.48,1.2,2.571,5.569,2.311,222.35,2.081
1981-05-15,0.881,0.48,1.2,2.567,5.568,2.309,223.05,2.069
1981-05-18,0.879,0.48,1.2,2.561,5.548,2.305,221.97,2.053
1981-05-19,0.877,0.48,1.2,2.567,5.56,2.309,221,2.058
1981-05-20,0.875,0.48,1.2,2.555,5.553,2.298,220.8,2.048
1981-05-21,0.876,0.48,1.2,2.584,5.611,2.323,222.5,2.076
1981-05-22,0.877,0.48,1.2,2.571,5.58,2.316,222.5,2.073
1981-05-26,0.878,0.48,1.2,2.595,5.544,2.334,224.35,2.076
1981-05-27,0.881,0.49,1.2,2.61,5.55,2.346,224.95,2.086
1981-05-28,0.878,0.48,1.2,2.586,5.515,2.325,224,2.073
1981-05-29,0.878,0.48,1.2,2.592,5.563,2.33,223.9,2.076
1981-06-01,0.876,0.49,1.21,2.595,5.555,2.335,222.5,2.076
1981-06-02,0.879,0.49,1.21,2.633,5.613,2.371,223.85,2.102
